Fb,Original Material Name,MTC Item Name (ODOO),Keterangan,Penggunaan/bulan,Kontrak 3 bulan,Tanggal List,Qty,Product Category,Reason,URGENCY,Link Refferences,Vendor,Harga (diisi oleh procurement),Nomor PR,Status PR,,Status PA,Status PO,No PO,PO Approved ,ETA Foom,Link GR,,,,,,
1,"Baut L+ mur+ring plat stainless304, m5x60A",Bolt L M5 X 60,consumable,,,04/09/25,100,Sparepart,Stock penggunaan consumable part,,https://tk.tokopedia.com/ZSAnhBHWc/,,"4,163",PR02476,CONTINUE,TE02440,DONE,DONE,P10489,,,https://foomx.odoo.com/web#id=4012&cids=1&menu_id=822&active_id=10491&model=good.received&view_type=form,TRUE,04/11/2025,,,,
2,M4x50 Baut L Stainless SS 304 Hex Head Socket Screw 4 x 50,Bolt L M4 X 50,,,,04/09/25,100,Sparepart,Stock penggunaan consumable part,Urgent,https://tk.tokopedia.com/ZSyUeWQPw/,,"2,167",PR03005,CONTINUE,TE02983,DONE,DONE,P11510,,,https://foomx.odoo.com/web#id=4804&cids=1&menu_id=822&active_id=11512&model=good.received&view_type=form,TRUE,31/12/2025,,,,
3,Baut mur hex M5 x 60 Stainless steel 304 | BM M5x60 SS304 THE sus,Bolt Hex M5 x 60,,,,04/09/25,100,Sparepart,Stock penggunaan consumable part,,https://tk.tokopedia.com/ZSAnBtHP1/,,"2,498",PR02476,CONTINUE,TE02440,DONE,DONE,P10489,,,https://foomx.odoo.com/web#id=4012&cids=1&menu_id=822&active_id=10491&model=good.received&view_type=form,TRUE,04/11/2025,,,,
4,M4x50 Baut Mur Hexagon Stainless 304 SS Hex 4x50,Bolt Hex M4 X 50,,,,04/09/25,100,Sparepart,Stock penggunaan consumable part,,https://tk.tokopedia.com/ZSAEdRFwt/,,"2,498",PR02476,CONTINUE,TE02440,DONE,DONE,P10489,,,https://foomx.odoo.com/web#id=4012&cids=1&menu_id=822&active_id=10491&model=good.received&view_type=form,TRUE,04/11/2025,,,,
5,"Baut L +Mur+ring ver stainless 304, m6x65 ht, anti karat",Bolt L M6 x 65,,,,04/09/25,100,Sparepart,Stock penggunaan consumable part,,https://tk.tokopedia.com/ZSAnSpDMf/,,"5,328",PR02476,CONTINUE,TE02440,DONE,DONE,P10489,,,https://foomx.odoo.com/web#id=4012&cids=1&menu_id=822&active_id=10491&model=good.received&view_type=form,TRUE,04/11/2025,,,,
6,M6x60 Baut Mur Hexagon Stainless 304 SS Hex 6x60,Bolt Hex M6 X 60,,,,04/09/25,100,Sparepart,Stock penggunaan consumable part,,https://tk.tokopedia.com/ZSAnSQTGH/,,"4,163",PR02476,CONTINUE,TE02440,DONE,DONE,P10489,,,https://foomx.odoo.com/web#id=4012&cids=1&menu_id=822&active_id=10491&model=good.received&view_type=form,TRUE,04/11/2025,,,,
7,M8x60 Baut L Stainless SS 304 Hex Head Socket Screw 8 x 60,Bolt L M8 X 60,,,,04/09/25,100,Sparepart,Stock penggunaan consumable part,,https://tk.tokopedia.com/ZSAKKgamR/,,"11,045",PR02476,CONTINUE,TE02440,DONE,DONE,P10489,,,https://foomx.odoo.com/web#id=4012&cids=1&menu_id=822&active_id=10491&model=good.received&view_type=form,TRUE,04/11/2025,,,,
8,M8 x 1.25 Mur Stainless Steel SUS 304 Nut Only Hex 8 mm Anti Karat,Nut M8,,,,04/09/25,100,Sparepart,Stock penggunaan consumable part,,https://tk.tokopedia.com/ZSAKKwVnc/,,"1,388",PR02476,CONTINUE,TE02440,DONE,DONE,P10489,,,https://foomx.odoo.com/web#id=4012&cids=1&menu_id=822&active_id=10491&model=good.received&view_type=form,TRUE,04/11/2025,,,,
9,M8x60 Baut Mur Hexagon Stainless 304 SS Hex 8x60,Bolt Hex M8 X 60,,,,04/09/25,100,Sparepart,Stock penggunaan consumable part,,https://tk.tokopedia.com/ZSAnB8XwG/,,"5,550",PR02476,CONTINUE,TE02440,DONE,DONE,P10489,,,https://foomx.odoo.com/web#id=4012&cids=1&menu_id=822&active_id=10491&model=good.received&view_type=form,TRUE,04/11/2025,,,,
10,Kabel NYYHY / NYMHY Serabut Super Kabel 3x2.5mm Warna Hitam,Kabel NYMHY 3 X 2.5,,,10,04/09/25,100,Sparepart,untuk stock maintenance (Repeat Order),,PT Hutama Sinergi Karya,,"814,740",PR02331,CONTINUE,TE02306,DONE,DONE,P10170,,,https://foomx.odoo.com/web#id=3833&cids=1&menu_id=822&active_id=10172&model=good.received&view_type=form,TRUE,19/09/2025,,,,
