NAMA BARANG;KODE BARANG;Qty
LABEL NIIMBOT D11 UKURAN 12 X 22 MM ;A0001;13
PLASTIK KLIP UKURAN 25X16 ISI 100PCS;A0002;0
LABEL TOM & JERRY BULAT NO. 113 WARNA BIRU (PACK);A0003;25
LABEL TOM & JERRY BULAT NO. 113 WARNA MERAH (PACK);A0004;25
LABEL TOM & JERRY BULAT NO. 113 WARNA ORANGE (PACK);A0005;25
LABEL TOM & JERRY BULAT NO. 113 WARNA HIJAU (PACK);A0006;25
LABEL TOM & JERRY BULAT NO. 113 WARNA KUNING (PACK);A0007;25
LABEL TOM & JERRY BULAT NO. 113 WARNA PUTIH (PACK);A0008;25
LABEL TOM & JERRY BULAT NO. 113 WARNA PINK (PACK);A0009;25
LABEL TOM N JERRY NO.121;A0010;0
LABEL TOM N JERRY NO.103;A0011;25
KERTAS HVS A4;A0012;11
PULPEN HITAM;A0013;66
PULPEN MERAH;A0014;172
TIPE - X;A0015;26
STABILO;A0016;8
PENGGARIS;A0017;5
GUNTING;A0018;4
AMPLOP PUTIH;A0019;400
AMPLOP COKLAT SEAL;A0020;200
AMPLOP COKLAT;A0021;300
AMPLOP TALI;A0022;150
MAP PLASTIK BENING;A0023;27
BATU BATERAI A3;A0024;82
BATU BATERAI A2;A0025;428
SPIDOL HITAM;A0026;78
SPIDOL HITAM PERMANEN;A0027;0
SPIDOL MERAH;A0028;32
SPIDOL PUTIH;A0029;44
ISI STAPLES KECIL;A0030;79
ISI STAPLES BESAR;A0031;14
STAPLES;A0032;13
MATERAI;A0033;304
DOUBLE TAPE PUTIH;A0034;11
DOUBLE TAPE FOAM;A0035;31
SHEET PROTECTOR ;A0036;341
BANTEX ;A0037;13
BOX FILE BINDEX;A0038;5
PAPAN JALAN;A0039;26
SURAT LEMBURAN ;A0040;16
SUSU ;A0041;552
AIR MINERAL;A0042;1656
TEH BOTOL;A0043;1176
KALKULATOR CITIZEN TYPE SDC 868 L;A0044;5
