No,Tanggal,Waktu,Tipe,ID Sparepart,Nama Item,Qty,Harga (Rp),PIC,No Report,Mesin,Jenis Pembelian,Vendor,Keterangan
1,22/7/2026,12.09,IN,MTC-SP-346,Bearing HK1012,1,21000,,,,Cash,MM Teknik,
2,22/7/2026,12.09,IN,,Bearing 6901,3,33000,,,,Cash,MM Teknik,
3,22/7/2026,12.09,IN,MTC-SP-346,Bearing HK1012,2,21000,,,,Cash,MM Teknik,
4,21/7/2026,12.09,OUT,MTC-SP-347,Bearing 60003,1,25000,Fandi,,Mesin Capping Cam Liquid,,,[Mesin: Mesin Capping Cam Liquid] Pergantian part mesin cam liquid
5,21/7/2026,12.09,OUT,MTC-SP-348,Bearing 608,4,18000,Fandi,,Mesin Capping Cam Liquid,,,[Mesin: Mesin Capping Cam Liquid] Pergantian part mesin cam liquid
6,21/7/2026,15.19,IN,MTC-SP-302,Stopkontak isi 2,10,43124,,,,,,Penerimaan Pengadaan PR PR04312 (PO P12988) · PT. GRAHA INOVASI GLOBAL
7,21/7/2026,15.29,IN,MTC-SP-303,Stopkontak isi 3,10,61734,,,,,,Penerimaan Pengadaan PR PR04312 (PO P12988) · PT. GRAHA INOVASI GLOBAL
8,21/7/2026,15.29,IN,MTC-SP-304,Stopkontak isi 5,6,63174,,,,,,Penerimaan Pengadaan PR PR04312 (PO P12988) · PT. GRAHA INOVASI GLOBAL
9,21/7/2026,15.34,IN,MTC-SP-004,Cable Tie 3.6x300,5,15000,,,,,,Penerimaan Pengadaan PR 1145/2025 (PO P12524) · PT. HUTAMA SINERGI KARYA
10,21/7/2026,15.34,IN,MTC-SP-268,Bearing 6205 RS SKF,20,98400,,,,,,Penerimaan Pengadaan PR 1097/2025 (PO P12524) · PT. HUTAMA SINERGI KARYA
11,21/7/2026,22.19,IN,MTC-SP-305,Heating plate upper sealing JBL-150,1,1128060,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
12,21/7/2026,20.57,IN,MTC-SP-331,Main shaft bearing blister JBL-150,6,850000,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
13,21/7/2026,20.58,IN,MTC-SP-332,Shaft sleeves JBL-150,10,58270,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
14,21/7/2026,20.58,IN,MTC-SP-333,Cam shaft cutting JBL-150,2,1657500,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
15,21/7/2026,20.59,IN,MTC-SP-334,Blade cutting JBL-150,3,1600000,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
16,21/7/2026,20.59,IN,MTC-SP-335,"Roller perforated, forming, sealing JBL-150",3,1675100,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
17,21/7/2026,21.02,IN,MTC-SP-336,Brushed magnetic pump (Filling),5,2900000,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
18,21/7/2026,21.03,IN,MTC-SP-337,Compact cylinder SJA (Mesin lanyard),3,995880,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
19,21/7/2026,21.04,IN,MTC-SP-338,Mold Set,1,30850000,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
20,21/7/2026,21.05,IN,MTC-SP-339,"ABS Tray, Custom sizing (CT POD & BEAT)",3,1810350,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
21,21/7/2026,21.06,IN,MTC-SP-340,Cylinder pneumatic (Blister Pod X),4,952000,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
22,21/7/2026,21.08,IN,MTC-SP-341,Dotted cutting knife 62.1x15x0.26,30,95200,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
23,21/7/2026,21.20,IN,MTC-SP-342,Heating plate forming upper and lower,1,3002188,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
24,21/7/2026,21.22,IN,MTC-SP-343,Linear bearings with a diameter of 40x50,10,131436,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
25,21/7/2026,21.22,IN,MTC-SP-344,Cam Blister JBL-150,3,1675698,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
26,21/7/2026,21.23,IN,MTC-SP-345,Dotted cutting knife 56.55×18.07×0.73,30,95200,,,,,,"PO · Shenzhen Jinbaolian Automation Equipment Co., Ltd."
27,21/7/2026,19.40,OUT,MTC-SP-071,Timing Belt HTD 1295 - 5M,1,1049394,,,,,,[PIC: Permana] Untuk pergantian part cellophane
