No,Tanggal,Waktu,Tipe,ID Sparepart,Nama Item,Qty,Harga (Rp),PIC,No Report,Jenis Pembelian,Vendor,Keterangan
1,22/7/2026,11.29,IN,MTC-SP-349,Bearing 6901,3,33000,,,Cash,MM Teknik,
2,22/7/2026,11.28,IN,MTC-SP-346,Bearing HK1012,2,21000,,,Cash,MM Teknik,
3,22/7/2026,11.29,IN,MTC-SP-346,Bearing HK1012,1,21000,,,Cash,MM Teknik,
4,21/7/2026,16.13,IN,MTC-SP-347,Bearing 6003,4,25000,,,Cash,Sinar Kreasi Mandiri,
5,21/7/2026,19.23,OUT,MTC-SP-348,Bearing 608 ,4,18000,Fandi,,,,[Mesin: Mesin Capping Cam Liquid] Pergantian part mesin cam liquid
6,21/7/2026,19.23,OUT,MTC-SP-347,Bearing 6003,1,25000,Fandi,,,,[Mesin: Mesin Capping Cam Liquid] Pergantian part mesin cam liquid
7,21/7/2026,16.13,IN,MTC-SP-348,Bearing 608 ,4,18000,,,Cash,Sinar Kreasi Mandiri,
8,20/7/2026,09.14,IN,MTC-SP-346,Bearing HK1012,6,21000,,,Cash,MM Bearing,
9,17/7/2026,11.01,OUT,,Bearing 6800ZZ (NTN),4,37879,Acal,,,,Pergantian part pada mesin cellophane device tension meter
10,16/7/2026,19.40,OUT,MTC-SP-071,Timing Belt HTD 1295 - 5M,1,1049394,Permana,,,,Untuk pergantian part cellophane
11,14/7/2026,21.05,IN,MTC-SP-340,Cylinder pnuematic (Blister Pod X),4,350200,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
12,14/7/2026,21.23,IN,MTC-SP-345,Dotted cutting knife 56.55x18.07x0.73,30,95200,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
13,14/7/2026,20.58,IN,MTC-SP-333, Cam shaft cutting JBL-150,2,1687590,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
14,14/7/2026,20.59,IN,MTC-SP-334,Roller cutting JBL-150,2,1500080,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
15,14/7/2026,20.59,IN,MTC-SP-335,"Roller perforasi,forming, sealing blister JBL-150",3,1875100,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
16,14/7/2026,21.00,IN,MTC-SP-336,Brushed magnetic pump (filling) ,5,2006000,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
17,14/7/2026,21.03,IN,MTC-SP-337,Compact cylinder SJA (Mesin lanyard),3,965600,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
18,14/7/2026,21.09,IN,MTC-SP-342,Heating plate forming upper and lower,1,3000159,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
19,14/7/2026,21.10,IN,MTC-SP-343, Linear bearings with a diameter of 40x58 ,16,131409,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
20,14/7/2026,21.22,IN,MTC-SP-344,Cam blister JBL-150,3,1875099,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
21,14/7/2026,21.06,IN,MTC-SP-341,Dotted cutting knife 62.1x18x0.74,30,95200,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
22,14/7/2026,21.05,IN,MTC-SP-339,"ABS Tray, Custom sizing (CT POD E BRAY)",3,1829200,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
23,14/7/2026,21.04,IN,MTC-SP-338,Mold Set,1,30600000,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
24,14/7/2026,20.58,IN,MTC-SP-332,Shaft sleeves JBL-150,16,56270,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
25,14/7/2026,20.57,IN,MTC-SP-331,Main shaft bearing blister JBL-150,6,850000,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
26,9/7/2026,20.14,IN,MTC-SP-325,Heating plate upper sealing JBL 150,1,1125060,,,PO,"Shenzhen Jinbaolian Automation Equipment Co., Ltd.",
27,2/7/2026,11.17,LOG,,Skun Y 1.25,3,60000,,,Cash,Sinar Electric,[⚡ Insidentil / Sekali Pakai] Untuk kebutuhan wiring
28,1/7/2026,11.20,LOG,,"SOK Rucika AW 3/4""",1,5000,,,Cash,Abun,[🚨 Emergency / Urgent] Untuk WTP Gedung G1
29,1/7/2026,11.14,LOG,,Per Tekan Baja T 3.5 Id 23 P 100,2,80000,,,Cash,Technical Outlet,[⚡ Insidentil / Sekali Pakai] Untuk Modif Mesin Capping
30,1/7/2026,11.14,LOG,,Per Tekan Baja T 3 Id 23 P 100,2,70000,,,Cash,Technical Outlet,[⚡ Insidentil / Sekali Pakai] Untuk Modif Mesin Capping
31,1/7/2026,11.20,LOG,,"KDD Rucika AW PVC 3/4""",1,8000,,,Cash,Abun,[🚨 Emergency / Urgent] Untuk WTP Gedung G1
32,1/7/2026,11.19,LOG,,SPI 7X8X300,4,152000,,,Cash,MM Teknik,[🚨 Emergency / Urgent] Untuk Pemasangan SPI Mesin Blister Pod X
33,1/7/2026,11.14,LOG,,Per Tekan Baja T 2.5 Id 23 P 100,2,60000,,,Cash,Technical Outlet,[⚡ Insidentil / Sekali Pakai] Untuk Modif Mesin Capping
34,26/6/2026,14.00,LOG,,Roofing 12 x 30,3,52000,,,,Abun,[⚡ Insidentil / Sekali Pakai] Untuk kebutuhan pintu D2
35,26/6/2026,14.00,LOG,,Pylox Nippon Paint No 200,2,38000,,,,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Pewarnaan Kursi F2
36,26/6/2026,14.00,LOG,,"Cutting Wheel WD 4""",1,80000,,,,Abun,[⚡ Insidentil / Sekali Pakai] Consumable part
37,26/6/2026,14.00,LOG,,Gembok Popeye 30 Panjang,1,25000,,,,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Gembok Kompresor F2
38,26/6/2026,14.40,LOG,,Kabel Duck NISO CURVE 20 x 70,100,41000,,,PO,PT NARAYA INOVASI GLOBAL,[Penerimaan Pengadaan - Langsung Pakai] Alasan: Kebutuhan produksi (Repeat Order)
39,26/6/2026,14.45,IN,MTC-SP-319,Oil Filter MCA15008,2,375200,,,PO,PT SHARPRINDO DINAMIKA UTAMA,[Penerimaan Pengadaan PR: PR04297 / PO: P13902]
40,26/6/2026,14.45,IN,MTC-SP-320,Oil Separator MCA 15011,2,572800,,,PO,PT SHARPRINDO DINAMIKA UTAMA,[Penerimaan Pengadaan PR: PR04297 / PO: P13902]
41,26/6/2026,14.46,IN,MTC-SP-321,Oil 10 Liter CR-46,2,1320000,,,PO,PT SHARPRINDO DINAMIKA UTAMA,[Penerimaan Pengadaan PR: PR04297 / PO: P13902]
42,26/6/2026,16.29,IN,MTC-SP-322,Stopkontak isi 2,10,43124,,,PO,PT NARAYA INOVASI GLOBAL,[Penerimaan Pengadaan PR: PR04196 / PO: P13888]
43,26/6/2026,16.29,IN,MTC-SP-323,Stopkontak isi 3,10,61114,,,PO,PT NARAYA INOVASI GLOBAL,[Penerimaan Pengadaan PR: PR04196 / PO: P13888]
44,26/6/2026,16.29,IN,MTC-SP-324,Stopkontak isi 5,5,40375,,,PO,PT NARAYA INOVASI GLOBAL,[Penerimaan Pengadaan PR: PR04196 / PO: P13888]
45,26/6/2026,16.30,IN,MTC-SP-004,Cable Tie 3.6x300,5,15200,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR04111 / PO: P13734]
46,26/6/2026,16.30,LOG,,baut mur baja 12.9 M-8x50mm Full drat,50,18770,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan - Langsung Pakai] Alasan: Sparepart untuk mesin blister pod X
47,26/6/2026,16.31,IN,MTC-SP-248,Bearing 6205 Rs SKF,20,86450,,,PO,PT HUTAMA SINERGI KARYA,[Penerimaan Pengadaan PR: PR03646 / PO: P13881]
48,26/6/2026,16.35,LOG,,Mata Bor Nachi 5mm,1,27250,,,,Sinar Kreasi Mandiri,[🚨 Emergency / Urgent] Pemakaian harian
49,26/6/2026,16.35,LOG,,Mata Bor Nachi 5.5mm,1,35750,,,,Sinar Kreasi Mandiri,[🚨 Emergency / Urgent] Pemakaian harian
50,26/6/2026,16.35,LOG,,Mata Bor Nachi 6.5mm,1,47000,,,,Sinar Kreasi Mandiri,[🚨 Emergency / Urgent] Pemakaian harian
51,25/6/2026,16.36,LOG,,Van Belt A27,4,100000,,,,Egi Teknik,[🔄 Rutin / Terus Menerus] Untuk mesin capping 15Ml
52,25/6/2026,16.37,LOG,,Fitting Lampu Gatung Broco / Itami Hitam,1,8000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Lampu F2
53,25/6/2026,16.39,LOG,,"Kuas Rolset 1 1/2""",1,12000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Pengecatan Pintu F2 Belakang
54,25/6/2026,16.39,LOG,,Cat Ftalit 115-610 Stone Grey,1,100000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Pengecatan Pintu F2 Belakang
55,25/6/2026,16.38,LOG,,"V Sock Galv 3/4"" X 1/2""",1,16000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Instalasi Kompresor F2
56,25/6/2026,16.37,LOG,,Mata Gergaji Beis Tekiro 24 TPI,1,20000,,,,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Pemakaian Harian
57,25/6/2026,16.38,LOG,,"Water Mur Galv 3/4""",4,160000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Untuk Instalasi Kompresor F2
58,24/6/2026,22.26,LOG,,"Pipa Rucika ST 3/4""",3,114000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8 dan D2
59,24/6/2026,22.26,LOG,,"Klem Pipa PVC 3/4""",1,13000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8 dan D2
60,24/6/2026,22.26,LOG,,Klem Pipa PVC 1/2,1,10000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8 dan D2
61,24/6/2026,22.26,LOG,,"Pipa Rucika STD 1/2"" AW",1,28000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8 dan D2
62,24/6/2026,22.26,LOG,,"Tee Rucika AW 1/2""",1,6000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8 dan D2
63,24/6/2026,22.26,LOG,,"Pipa Rucika STD 3/4"" AW",1,38000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8 dan D2
64,24/6/2026,22.26,LOG,,Steker Ac Broco set,1,90000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8
65,24/6/2026,22.26,LOG,,"Cutting Wheel WD 4""",10,50000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Consumable part
66,24/6/2026,22.26,LOG,,Dinabolt 12X129,5,30000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Perbaikan pintu D2
67,24/6/2026,22.26,LOG,,"TEE Galv 1""",1,32000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
68,24/6/2026,22.26,LOG,,"Sealtape Onda 1/2""",6,36000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
69,24/6/2026,22.26,LOG,,"Sok 1""",6,75000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
70,24/6/2026,22.26,LOG,,"Sock 3/4""",7400,59200,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
71,24/6/2026,22.26,LOG,,Klem Kabel Climax No.17,1,25000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
72,24/6/2026,22.26,LOG,,Kabel Supreme NYA 4mm,15,224280,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
73,24/6/2026,22.26,LOG,,Valve 3/8 SUS 316,1,40000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Perbaikan Mesin Filling 15Ml
74,24/6/2026,22.26,LOG,,SPC 10 - 03,2,20000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Perbaikan Mesin Filling 15Ml
75,24/6/2026,22.26,LOG,,Skun SC 3.5 - 5,1,40000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
76,24/6/2026,22.26,LOG,,Vinyl Sc 8.5 - 10,1,5000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
77,24/6/2026,22.26,LOG,,Sok 10 mm,10,30000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
78,24/6/2026,22.26,LOG,,Svbakar 6mm,1,3000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi Kompresor F2
79,24/6/2026,22.26,LOG,,"TEE Rucika AW 3/4""",2,16000,,,Cash,Abun,[⚡ Insidentil / Sekali Pakai] Instalasi AC D8 dan D2
80,21/6/2026,11.02,LOG,,"Selang Benang Cristal 1""",8,238000,,,,TB 68 Jaya,[⚡ Insidentil / Sekali Pakai] Untuk Pompa Pembuangan Mixing
81,21/6/2026,11.02,LOG,,Kabel Eterna 2 x 1.5,4,64000,,,,TB 68 Jaya,[⚡ Insidentil / Sekali Pakai] Untuk Lampu D2 atas
82,21/6/2026,11.02,LOG,,Saklar Serigai,1,25000,,,,TB 68 Jaya,[⚡ Insidentil / Sekali Pakai] Untuk Lampu D2 atas
